stamp	navigation_system	satellite_num	satellite_frequency 1 3 3	elevation	azimuth	
     2	9	107	0	0	26	65024
     5	1	153	180	0	46	36608
     0	22	95	0	0	25	10753
     0	29	122	0	0	27	24064
     2	5	188	172	0	44	42496
     0	26	196	152	0	50	55808
     2	15	124	88	0	22	9216
     4	193	170	171	0	43	43264
     5	14	182	198	0	55	50688
     0	32	183	139	0	65	28160
     3	19	157	168	127	80	44544
     5	3	153	182	0	50	49920
     5	4	129	144	0	31	30976
     3	1	188	182	141	57	64000
     1	128	118	0	0	36	59648
     1	137	159	0	0	43	34816
     1	129	150	0	0	43	34816
    10	14	184	0	0	43	35328
--------------------------
1568299156.073
     5	10	165	185	0	48	57600
     5	7	169	160	0	72	57344
     2	9	101	0	0	26	65024
     5	1	153	180	0	46	36608
     0	22	105	0	0	25	10753
     0	29	130	0	0	27	24064
     2	5	187	172	0	44	42496
     0	26	197	152	0	50	55808
     2	15	127	88	0	22	9216
     4	193	172	171	0	43	43264
     5	14	183	199	0	55	50688
     0	32	186	139	0	65	28160
     3	19	157	168	125	80	44544
     5	3	153	180	0	50	49920
     3	1	188	182	140	57	64000
     5	2	127	0	0	36	59392
     1	128	122	0	0	36	59648
     1	137	156	0	0	43	34816
     1	129	154	0	0	43	34816
    10	14	184	0	0	43	35328
--------------------------
1568299157.069
     5	10	163	185	0	48	57600
     5	7	167	160	0	72	57344
     2	9	107	0	0	26	65024
     5	1	153	180	0	46	36608
     0	22	101	0	0	25	10753
     0	29	130	0	0	27	24064
     2	5	188	174	0	44	42496
     0	26	197	153	0	50	55808
     2	15	122	85	0	22	9216
     4	193	171	170	0	43	43264
     5	14	184	198	0	55	50688
     0	32	185	139	0	65	28160
     3	19	158	167	126	80	44544
     5	3	153	181	0	50	49920
     3	1	190	181	140	57	64000
     5	2	126	0	0	36	59392
     1	128	119	0	0	36	59648
     1	137	156	0	0	43	34816
     1	129	152	0	0	43	34816
    10	14	184	0	0	43	35328
--------------------------
1568299158.069
     5	10	164	185	0	48	57600
     5	7	168	160	0	72	57344
     2	9	101	0	0	26	65024
     5	1	153	182	0	46	36608
     0	22	98	0	0	25	10753
     0	29	127	0	0	27	24064
     2	5	188	172	0	44	42496
     0	26	198	154	0	50	55808
     2	15	123	79	0	22	9216
     4	193	171	170	0	43	43264
     5	14	184	197	0	55	50688
     0	32	184	136	0	65	28160
     3	19	159	167	124	80	44544
     5	3	153	178	0	50	49920
     3	1	189	179	136	57	64000
     5	2	127	0	0	36	59392
     1	128	120	0	0	36	59648
     1	137	158	0	0	43	34816
     1	129	150	0	0	43	34816
    10	14	185	0	0	43	35328
--------------------------
1568299159.066
     5	10	163	184	0	48	57856
     5	7	169	160	0	72	57344
     2	9	103	0	0	26	65024
     5	1	154	181	0	46	36608
     0	22	98	0	0	25	10753
     0	29	129	0	0	27	23808
     2	5	189	172	0	44	42496
     0	26	197	153	0	50	55808
     2	15	122	0	0	22	9216
     4	193	171	170	0	43	43520
     5	14	183	196	0	55	50688
     0	32	181	140	0	65	28160
     3	19	158	167	124	80	44544
     5	3	153	179	0	50	49920
     5	4	128	0	0	31	30976
     3	1	190	180	136	57	64000
     1	128	121	0	0	36	59648
     1	137	156	0	0	43	34816
     1	129	152	0	0	43	34816
    10	14	185	0	0	43	35328
--------------------------
1568299160.061
     5	10	162	183	0	48	57856
     5	7	170	160	0	72	57344
     2	9	103	0	0	26	65024
     5	1	153	181	0	46	36608
     0	22	101	0	0	25	10753
     0	29	132	0	0	27	23808
     2	5	188	172	0	44	42496
     0	26	196	156	0	50	55808
     2	15	122	0	0	22	9216
     4	193	174	172	0	43	43520
     5	14	183	198	0	55	50688
     0	32	180	138	0	65	28160
     3	19	159	166	129	80	44544
     5	3	154	179	0	50	49920
     5	4	128	0	0	31	30976
     3	1	190	180	138	57	64000
     1	128	120	0	0	36	59648
     1	137	158	0	0	43	34816
     1	129	150	0	0	43	34816
    10	14	185	0	0	43	35328
--------------------------
1568299161.046
     5	10	163	183	0	48	57856
     5	7	170	162	0	72	57344
     2	9	98	0	0	26	65024
     5	1	154	182	0	46	36608
     0	22	91	0	0	25	10753
     0	29	127	0	0	27	23808
     2	5	189	170	0	44	42496
     0	26	197	154	0	50	55808
     2	15	123	0	0	22	9216
     4	193	172	173	0	43	43520
     5	14	183	197	0	55	50688
     0	32	180	142	0	65	28160
     3	19	159	167	126	80	44544
     5	3	154	178	0	50	49920
     5	4	129	0	0	31	30976
     3	1	190	181	134	57	64000
     5	2	126	0	0	36	59392
     1	128	122	0	0	36	59648
     1	137	158	0	0	43	34816
     1	129	153	0	0	43	34816
    10	14	185	0	0	43	35328
--------------------------
1568299162.068
     5	10	162	184	0	48	57856
     5	7	168	162	0	72	57344
     2	9	98	0	0	26	65024
     5	1	154	183	0	46	36608
     0	22	86	0	0	25	10753
     0	29	128	0	0	27	23808
     2	5	188	170	0	44	42496
     0	26	195	156	0	50	55808
     2	15	122	0	0	22	9216
     4	193	173	173	0	43	43520
     5	14	183	198	0	55	50688
     0	32	182	138	0	65	28160
     3	19	159	166	129	80	44544
     5	3	153	181	0	50	49920
     5	4	130	0	0	31	30976
     3	1	189	180	137	57	64000
     5	2	123	0	0	36	59392
     1	128	118	0	0	36	59648
     1	137	157	0	0	43	34816
     1	129	154	0	0	43	34816
    10	14	184	0	0	43	35328
--------------------------
1568299163.055
     5	10	161	185	0	48	57856
     5	7	167	160	0	72	57344
     2	9	101	0	0	26	65024
     5	1	153	183	0	46	36608
     0	22	86	0	0	25	10753
     0	29	131	0	0	27	23808
     2	5	189	169	0	44	42496
     0	26	196	157	0	50	55808
     2	15	120	0	0	22	9216
     4	193	175	174	0	43	43520
     5	14	182	197	0	55	50688
     0	32	181	139	0	65	28160
     3	19	158	168	127	80	44544
     5	3	153	181	0	50	49920
     5	4	130	143	0	31	30976
     3	1	189	179	134	57	64000
     5	2	125	0	0	36	59392
     1	128	117	0	0	36	59648
     1	137	159	0	0	43	34816
     1	129	152	0	0	43	34816
    10	14	184	0	0	43	35328
--------------------------
1568299164.048
     5	10	162	185	0	48	57856
     5	7	168	159	0	72	57344
     2	9	98	0	0	26	65024
     5	1	154	183	0	46	36608
     0	22	91	0	0	25	10753
     0	29	132	0	0	27	23808
     2	5	189	169	0	44	42496
     0	26	196	155	0	50	55808
